0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,positive
387,1441,6919,38155,1461,5094,23222,7023,23140,38583,387,-556226.0,799452104.0,-1150000000000.0,-563946.0,810545979.0,-1160000000000.0,821797608.0,-1180000000000.0,-1200000000000.0,46113308.2,626850757.2,4960000000000.0,-864000000000000.0,626850757.2,358000000000.0,-207000000000000.0,4960000000000.0,-207000000000000.0,-864000000000000.0,9,0,1,1,2,3,0,2,9,8,0,1,1,2,3,2,0,2,0,0,0,5,15,6,10,1,9,10,10,9,8,6,10,9,16,5,1,15,18,10,9,9,18,10,13,9,1,1,9.0,1.0,6.0,9.0,1.0,10.0,1.0,9.0,16.0,10.0,1.0,3.0,4.0,12.0,1.0,8.0,15.0,14.0,14.0,2927.0,23545.0,302393.0,4201687.0,25911.0,190660.0,2442596.0,293651.0,2089372.0,3972165.0,2927.0,-68892670.0,1620000000000.0,-3.82e+16,-75815586.0,1780000000000.0,-4.2e+16,1960000000000.0,-4.62e+16,-5.09e+16,3.54e+24,1.87e+27,1.03e+32,-6.5e+35,1.87e+27,5.61e+30,-2.2e+34,1.03e+32,-2.2e+34,-6.5e+35,249.0,0.0,39.0,40.0,16.0,44.0,0.0,53.0,188.0,143.0,0.0,41.0,24.0,91.0,63.0,50.0,0.0,40.0,0.0,0.0,0.0,6992.0,60867.0,661433.0,8177739.0,65679.0,1
957,5654,42942,367694,5238,30575,229105,37148,215073,293748,957,-5405224.0,30529211722.0,-172000000000000.0,-5007528.0,28282978235.0,-160000000000000.0,26202032168.0,-148000000000000.0,-137000000000000.0,903000000000.0,46900000000000.0,1.08e+18,-1.14e+21,46900000000000.0,6.73e+16,-1.08e+20,1.08e+18,-1.08e+20,-1.14e+21,16,1,5,9,4,7,1,6,10,12,4,2,7,3,3,3,3,12,0,0,0,11,9,10,16,2,10,10,10,17,10,17,8,8,5,18,10,17,8,18,7,1,13,12,18,4,1,9,3.0,10.0,1.0,3.0,13.0,4.0,16.0,4.0,1.0,18.0,6.0,5.0,1.0,3.0,1.0,5.0,6.0,4.0,1.0,3.0,1.0,18.0,6.0,4.0,1.0,3.0,13.0,12.0,1.0,6.0,10.0,18.0,5.0,6.0,15.0,10.0,1.0,15.0,8.0,10.0,6.0,15.0,18.0,8.0,13.0,9.0,18.0,1.0,9.0,9.0,10.0,6.0,13.0,9.0,18.0,1.0,9.0,18.0,10.0,13.0,9.0,18.0,11.0,9.0,4.0,1.0,8.0,13.0,11.0,1.0,18.0,4.0,11.0,1.0,9.0,1
7100,96431,1748957,35807141,92955,1253571,22719061,1596459,21382473,30841857,7100,-684563669.0,66000000000000.0,-6.36e+18,-659887545.0,63600000000000.0,-6.13e+18,61300000000000.0,-5.91e+18,-5.7e+18,1.83e+33,6.060000000000001e+35,2.43e+41,-4.66e+45,6.060000000000001e+35,1.27e+40,-3.04e+44,2.43e+41,-3.04e+44,-4.66e+45,46,7,35,46,38,38,15,33,53,54,12,32,25,32,29,57,41,49,8,29,0,11,16,16,3,10,18,11,13,1,10,6,15,13,5,17,10,6,11,10,20,3,1,15,15,4,9,10,8.0,13.0,6.0,5.0,16.0,10.0,5.0,6.0,3.0,4.0,17.0,10.0,14.0,9.0,20.0,14.0,16.0,16.0,12.0,1.0,14.0,15.0,16.0,16.0,4.0,5.0,9.0,8.0,18.0,1.0,16.0,17.0,4.0,16.0,9.0,16.0,16.0,1.0,11.0,3.0,8.0,4.0,1.0,16.0,10.0,6.0,18.0,16.0,5.0,10.0,6.0,6.0,10.0,18.0,4.0,18.0,6.0,6.0,16.0,1.0,9.0,20.0,10.0,12.0,12.0,17.0,9.0,9.0,20.0,14.0,12.0,14.0,16.0,15.0,18.0,1
4620,52695,785595,13190835,50396,575435,8594195,717892,8179099,11579426,4620,-243398205.0,12800000000000.0,-6.76e+17,-232779124.0,12300000000000.0,-6.46e+17,11700000000000.0,-6.18e+17,-5.91e+17,1.23e+26,1.98e+28,5.82e+33,-6.53e+37,1.98e+28,3.09e+32,-4.7900000000000004e+36,5.82e+33,-4.7900000000000004e+36,-6.53e+37,28,15,35,34,19,31,6,22,55,41,6,17,14,16,15,41,27,27,5,16,0,11,16,9,13,8,8,5,10,10,17,1,5,18,18,10,17,3,10,6,1,17,4,3,17,4,9,18,4.0,18.0,9.0,1.0,9.0,13.0,16.0,9.0,17.0,16.0,15.0,6.0,1.0,8.0,6.0,14.0,6.0,5.0,4.0,10.0,7.0,9.0,8.0,3.0,10.0,10.0,16.0,9.0,4.0,10.0,14.0,6.0,1.0,14.0,18.0,5.0,4.0,4.0,10.0,13.0,18.0,4.0,4.0,2.0,17.0,17.0,3.0,12.0,9.0,10.0,6.0,17.0,8.0,14.0,9.0,3.0,3.0,17.0,5.0,20.0,16.0,12.0,17.0,4.0,16.0,10.0,20.0,12.0,16.0,18.0,1.0,16.0,12.0,16.0,9.0,1
1582,10770,94328,933024,10029,67642,588784,82149,549810,758661,1582,-17027370.0,183000000000.0,-1970000000000000.0,-15855849.0,171000000000.0,-1840000000000000.0,159000000000.0,-1710000000000000.0,-1590000000000000.0,233000000000000.0,1.91e+16,6.64e+20,-1.26e+24,1.91e+16,3.88e+19,-1.02e+23,6.64e+20,-1.02e+23,-1.26e+24,10,1,12,6,5,8,2,15,14,16,5,8,6,5,6,9,6,6,6,8,0,11,11,10,9,12,3,5,12,18,10,6,14,8,1,19,10,19,1,12,16,13,11,7,15,12,19,16,18.0,16.0,10.0,10.0,11.0,9.0,12.0,18.0,8.0,13.0,1.0,8.0,4.0,12.0,3.0,14.0,20.0,10.0,10.0,10.0,18.0,3.0,3.0,6.0,5.0,13.0,8.0,1.0,20.0,2.0,16.0,9.0,10.0,17.0,10.0,4.0,16.0,4.0,1.0,15.0,20.0,18.0,9.0,3.0,17.0,12.0,16.0,10.0,9.0,8.0,3.0,3.0,19.0,12.0,1.0,6.0,3.0,15.0,8.0,19.0,8.0,8.0,3.0,19.0,8.0,1.0,13.0,5.0,6.0,3.0,16.0,16.0,10.0,10.0,20.0,1
244,740,2730,11174,728,2119,7589,2646,7465,10628,244,-179820.0,132521930.0,-97665033426.0,-176904.0,130372359.0,-96080440771.0,128258774.0,-94522382399.0,-92990401068.0,692238.6613,2492957.9,11411040681.0,457000000000.0,2492957.9,881233815.3,-165000000000.0,11411040681.0,-165000000000.0,457000000000.0,2,0,0,0,0,3,0,4,5,2,1,0,1,0,1,1,1,2,1,0,0,6,8,19,6,17,10,1,9,8,6,8,9,1,18,13,15,18,8,16,11,10,9,9,9,699,8637,106673,1346001.0,5585.0,73537.0,890101.0,73525.0,974033.0,1280669.0,699.0,-6028626.0,51994751666.0,-448000000000000.0,-3898330.0,33621712102.0,-290000000000000.0,21741054350.0,-188000000000000.0,-121000000000000.0,8.44e+23,6.25e+26,2.6e+31,-2.67e+35,6.25e+26,2.54e+30,-2.01e+34,2.6e+31,-2.01e+34,-2.67e+35,20.0,0.0,0.0,0.0,0.0,15.0,0.0,40.0,89.0,27.0,20.0,0.0,15.0,0.0,16.0,19.0,5.0,31.0,3.0,0.0,0.0,642.0,5409.0,74423.0,1272645.0,5465.0,40743.0,577415.0,32899.0,113811.0,-139345.0,642.0,-3467169.0,18724734263.0,-101000000000000.0,-3503065.0,18918559143.0,-102000000000000.0,19114416899.0,-103000000000000.0,-104000000000000.0,7.75e+23,4.75e+26,1.44e+31,1.6000000000000001e+35,4.75e+26,-6.87e+29,3.34e+34,1
1843,13733,131697,1417481,13875,103138,988526,134227,998160,1455333,1843,-25296186.0,347000000000.0,-4770000000000000.0,-25557750.0,351000000000.0,-4810000000000000.0,354000000000.0,-4860000000000000.0,-4910000000000000.0,3800000000000000.0,4960000000000000.0,1.86e+22,-6.13e+25,4960000000000000.0,1.05e+21,-6.03e+24,1.86e+22,-6.03e+24,-6.13e+25,18,12,4,15,8,20,2,14,13,16,5,10,4,2,4,14,17,10,2,6,0,11,9,17,11,1,16,5,18,10,18,10,18,1,1,5,1,10,13,1,1,5,1,16,10,4,17,9,3.0,18.0,8.0,17.0,15.0,1.0,1.0,20.0,4.0,9.0,10.0,18.0,4.0,16.0,6.0,1.0,8.0,14.0,6.0,8.0,17.0,11.0,17.0,9.0,17.0,8.0,8.0,16.0,12.0,13.0,8.0,4.0,1.0,10.0,18.0,1.0,7.0,5.0,12.0,15.0,9.0,10.0,6.0,6.0,6.0,17.0,8.0,5.0,3.0,2.0,6.0,4.0,16.0,2.0,5.0,10.0,6.0,17.0,2.0,20.0,17.0,9.0,6.0,2.0,16.0,2.0,6.0,4.0,19.0,9.0,10.0,2.0,20.0,6.0,17.0,1
6880,96917,1780463,36761603,91190,1263990,23077002,1554102,21255966,29766794,6880,-666692043.0,64600000000000.0,-6.26e+18,-627296010.0,60800000000000.0,-5.89e+18,57200000000000.0,-5.54e+18,-5.21e+18,1.77e+33,4.84e+35,2.36e+41,-4.47e+45,4.84e+35,1.15e+40,-2.91e+44,2.36e+41,-2.91e+44,-4.47e+45,57,1,31,34,37,42,17,66,36,87,12,26,19,32,40,34,33,51,8,20,0,11,3,5,20,15,4,4,3,20,6,10,20,1,10,17,8,10,1,14,20,7,12,8,1,18,12,13,4.0,4.0,10.0,9.0,7.0,9.0,5.0,3.0,10.0,4.0,6.0,9.0,6.0,10.0,3.0,10.0,17.0,1.0,19.0,10.0,10.0,1.0,1.0,9.0,16.0,10.0,4.0,10.0,9.0,1.0,9.0,9.0,9.0,1.0,8.0,3.0,15.0,10.0,1.0,5.0,8.0,1.0,10.0,13.0,1.0,10.0,18.0,19.0,15.0,4.0,3.0,6.0,9.0,7.0,5.0,8.0,10.0,17.0,9.0,8.0,3.0,12.0,4.0,1.0,9.0,9.0,20.0,10.0,8.0,5.0,3.0,10.0,4.0,17.0,7.0,1
233,594,1940,7326,682,1704,5484,2422,5836,9538,233,-137808.0,81507056.0,-48207904074.0,-158224.0,93581652.0,-55349196908.0,107446066.0,-63548997968.0,-72964296514.0,661031.1806,3332976.3230000003,10485469760.0,533000000000.0,3332976.3230000003,800397493.2,-131000000000.0,10485469760.0,-131000000000.0,533000000000.0,2,0,0,0,1,3,0,1,4,5,0,0,1,1,0,2,0,2,1,0,0,19,10,6,16,1,10,9,8,6,1,9,10,10,13,16,18,18,6,10,5,14,9,9,598,6636,78154,992226,6093.0,66644.0,769974.0,90563.0,974644.0,1543245.0,598.0,-3961692.0,26245829770.0,-174000000000000.0,-3637521.0,24098222852.0,-160000000000000.0,22126381367.0,-147000000000000.0,-135000000000000.0,7.22e+23,1.47e+26,2.85e+31,-3.3700000000000004e+35,1.47e+26,2.08e+30,-2.89e+34,2.85e+31,-2.89e+34,-3.3700000000000004e+35,15.0,0.0,0.0,0.0,20.0,30.0,0.0,8.0,63.0,52.0,0.0,0.0,14.0,21.0,0.0,19.0,0.0,33.0,1.0,0.0,0.0,669.0,6415.0,89337.0,1420447.0,5682.0,52261.0,740991.0,41506.0,338867.0,117924.0,669.0,-4285220.0,27448623412.0,-176000000000000.0,-3795576.0,24312222271.0,-156000000000000.0,21534219214.0,-138000000000000.0,-122000000000000.0,8.08e+23,4.99e+26,1.69e+31,8.59e+34,4.99e+26,-1.77e+29,2.44e+34,1.69e+31,1
122,310,906,2902,219,528,1474,475,1098,1173,122,-37510.0,11532906.0,-3545968678.0,-26499.0,8147328.0,-2504986400.0,5755795.0,-1769658706.0,-1250222523.0,69223.86613,1052121.544,199652795.5,28427896729.0,1052121.544,30118311.88,2410474600.0,199652795.5,2410474600.0,28427896729.0,0,0,0,0,3,1,0,0,1,1,0,0,0,1,1,1,0,1,1,0,0,5,18,14,19,5,16,9,5,10,6,15,0,-239,-8125,-194939,374,675,-55141,11616,75971,267410,0,-239,-122367,-46976321,374,179447,67396021.0,-268136.0,-97943797.0,144175130.0,-2097152.0,-1.1e+26,2.79e+30,-7.4e+34,-1.1e+26,2.42e+29,-9e+33,2.79e+30,-9e+33,-7.4e+34,0.0,0.0,0.0,0.0,14.0,10.0,0.0,0.0,7.0,9.0,0.0,0.0,0.0,3.0,11.0,6.0,0.0,2.0,4.0,0.0,0.0,56.0,988.0,19178.0,368896.0,-94.0,3070.0,110406.0,-10216.0,-57246.0,-260410.0,56.0,-54340.0,52730954.0,-51171279112.0,5170.0,-5012018.0,4858996226.0,466928.0,-452074982.0,40879630.0,6.76e+22,2.1e+26,-1.77e+30,7.85e+34,2.1e+26,-9.6e+28,1.05e+34,-1.77e+30,1.05e+34,7.85e+34,0.0,0.0,0.0,0.0,22.0,2.0,0.0,0.0,5.0,3.0,1
5577,68787,1112175,20235363,68614,852035,13878975,1094164,13487469,19490284,5577,-383556312.0,26400000000000.0,-1.81e+18,-382591664.0,26300000000000.0,-1.81e+18,26200000000000.0,-1.81e+18,-1.8e+18,8.18e+28,5.35e+30,6.37e+36,-9.630000000000001e+40,5.35e+30,3.2800000000000002e+35,-7.25e+39,6.37e+36,-7.25e+39,-9.630000000000001e+40,46,4,30,38,19,50,12,41,36,47,13,18,26,11,26,48,30,38,3,21,0,11,6,17,16,20,15,9,10,6,20,18,10,5,10,11,10,6,11,8,18,4,4,6,8,1,20,18,15.0,18.0,9.0,4.0,9.0,14.0,16.0,16.0,13.0,16.0,5.0,11.0,6.0,8.0,20.0,3.0,4.0,16.0,1.0,18.0,1.0,16.0,3.0,1.0,18.0,13.0,2.0,1.0,4.0,1.0,6.0,11.0,10.0,15.0,14.0,9.0,6.0,16.0,1.0,18.0,3.0,1.0,1.0,8.0,1.0,17.0,10.0,10.0,2.0,8.0,6.0,18.0,20.0,12.0,13.0,14.0,16.0,16.0,6.0,8.0,6.0,6.0,6.0,16.0,5.0,11.0,18.0,8.0,20.0,3.0,15.0,16.0,17.0,15.0,17.0,1
